place,title,time,pay,date
경기 광주시,홍익아트,10:00~23:00,"월급1,800,000",11/14
경기 광명시,홍익아트,10:00~23:00,"월급1,800,000",11/14
경기 파주시,홍익아트,10:00~23:00,"월급1,800,000",11/14
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/14
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/14
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 중랑구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 종로구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 은평구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 용산구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 영등포,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 송파구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 성북구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 성동구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 서초구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 동작구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 서대문,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 마포구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 동대문,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 도봉구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 노원구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 관악구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 강서구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 양천구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 강북구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 광진구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 강동구,홍익아트,10:00~23:00,"월급1,800,000",11/14
서울 강남구,홍익아트,10:00~23:00,"월급1,800,000",11/14
제주 제주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
전북 익산시,홍익아트,10:00~23:00,"월급1,800,000",11/09
광주 서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
광주 남구,홍익아트,10:00~23:00,"월급1,800,000",11/09
광주 광산구,홍익아트,10:00~23:00,"월급1,800,000",11/09
광주 북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
전남 순천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
전남 광양시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 사천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 진주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경남 김해시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경북 포항시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경북 포항시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경북 구미시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경북 경산시,홍익아트,10:00~23:00,"월급1,800,000",11/09
대구 수성구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대구 북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대구 동구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대구 달성군,홍익아트,10:00~23:00,"월급1,800,000",11/09
대구 달서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
울산 중구,홍익아트,10:00~23:00,"월급1,800,000",11/09
울산 동구,홍익아트,10:00~23:00,"월급1,800,000",11/09
울산 북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
울산 남구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 부산진,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 사상구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 동래구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 해운대,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 수영구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 남구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 기장군,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 금정구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 연제구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 사하구,홍익아트,10:00~23:00,"월급1,800,000",11/09
부산 강서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
충북 청주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
충북 청주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
세종 전체,홍익아트,10:00~23:00,"월급1,800,000",11/09
충남 계룡시,홍익아트,10:00~23:00,"월급1,800,000",11/09
대전 중구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대전 유성구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대전 서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
대전 대덕구,홍익아트,10:00~23:00,"월급1,800,000",11/09
강원 춘천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 연수구,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 부평구,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 남동구,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 미추홀,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 계양구,홍익아트,10:00~23:00,"월급1,800,000",11/09
인천 서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 화성시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 하남시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 평택시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 이천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 의정부,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 용인시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 용인시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 오산시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 여주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 안산시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 안산시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 부천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 부천시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 남양주,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 군포시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 김포시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 구리시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 광주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 광명시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 파주시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/09
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 중랑구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 종로구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 은평구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 용산구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 영등포,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 송파구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 성북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 성동구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 서초구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 동작구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 서대문,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 마포구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 동대문,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 도봉구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 노원구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 광진구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 관악구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 강서구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 양천구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 강북구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 강동구,홍익아트,10:00~23:00,"월급1,800,000",11/09
서울 강남구,홍익아트,10:00~23:00,"월급1,800,000",11/09
제주 제주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
전북 익산시,홍익아트,10:00~23:00,"월급1,800,000",11/08
광주 북구,홍익아트,10:00~23:00,"월급1,800,000",11/08
광주 남구,홍익아트,10:00~23:00,"월급1,800,000",11/08
전남 순천시,홍익아트,10:00~23:00,"월급1,800,000",11/08
전남 광양시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경남 창원시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경남 진주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경남 김해시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경북 포항시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경북 포항시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경북 구미시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경북 경산시,홍익아트,10:00~23:00,"월급1,800,000",11/08
대구 수성구,홍익아트,10:00~23:00,"월급1,800,000",11/08
대구 북구,홍익아트,10:00~23:00,"월급1,800,000",11/08
대구 동구,홍익아트,10:00~23:00,"월급1,800,000",11/08
대구 달성군,홍익아트,10:00~23:00,"월급1,800,000",11/08
대구 달서구,홍익아트,10:00~23:00,"월급1,800,000",11/08
울산 중구,홍익아트,10:00~23:00,"월급1,800,000",11/08
울산 동구,홍익아트,10:00~23:00,"월급1,800,000",11/08
울산 북구,홍익아트,10:00~23:00,"월급1,800,000",11/08
울산 남구,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 부산진,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 사상구,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 동래구,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 남구,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 기장군,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 연제구,홍익아트,10:00~23:00,"월급1,800,000",11/08
부산 강서구,홍익아트,10:00~23:00,"월급1,800,000",11/08
충북 청주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
충북 청주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
충남 천안시,홍익아트,10:00~23:00,"월급1,800,000",11/08
세종 전체,홍익아트,10:00~23:00,"월급1,800,000",11/08
대전 중구,홍익아트,10:00~23:00,"월급1,800,000",11/08
대전 서구,홍익아트,10:00~23:00,"월급1,800,000",11/08
대전 대덕구,홍익아트,10:00~23:00,"월급1,800,000",11/08
강원 춘천시,홍익아트,10:00~23:00,"월급1,800,000",11/08
인천 연수구,홍익아트,10:00~23:00,"월급1,800,000",11/08
인천 부평구,홍익아트,10:00~23:00,"월급1,800,000",11/08
인천 남동구,홍익아트,10:00~23:00,"월급1,800,000",11/08
인천 연수구,홍익아트,10:00~23:00,"월급1,800,000",11/08
인천 서구,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 화성시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 하남시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 평택시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 이천시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 의정부,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 용인시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 용인시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 오산시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 여주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 안양시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 안산시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 수원시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 성남시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 부천시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 부천시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 남양주,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 군포시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 김포시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 구리시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 광주시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 광명시,홍익아트,10:00~23:00,"월급1,800,000",11/08
경기 고양시,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 중랑구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 종로구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 은평구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 용산구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 영등포,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 송파구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 성북구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 성동구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 동작구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 서대문,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 마포구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 동대문,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 도봉구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 노원구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 관악구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 양천구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 강북구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 강동구,홍익아트,10:00~23:00,"월급1,800,000",11/08
서울 강남구,홍익아트,10:00~23:00,"월급1,800,000",11/08
